,Actual Valule,Predicted Value
102,0,0
18,0,0
672,0,0
182,0,0
75,0,0
23,1,1
169,0,0
260,0,1
207,1,1
611,1,1
133,0,0
272,0,0
734,0,1
143,1,1
374,0,1
595,1,1
360,1,1
338,1,0
655,1,1
141,0,1
40,0,1
427,1,1
589,0,0
200,0,0
498,1,1
226,0,0
525,0,0
654,0,0
521,0,0
244,0,1
445,1,0
590,1,1
423,0,0
627,0,1
81,0,0
252,0,0
625,0,0
282,0,0
193,1,0
52,0,0
146,0,0
155,1,1
648,1,0
727,0,1
747,0,0
624,0,0
14,1,1
574,0,1
567,0,0
656,0,0
430,0,0
22,1,1
410,0,0
28,0,0
152,1,1
105,0,0
126,0,0
271,0,0
582,0,0
293,1,0
313,0,0
468,1,0
290,0,0
477,0,0
210,0,0
478,0,0
495,0,1
3,0,0
208,0,0
579,1,1
481,0,0
511,0,0
388,1,0
156,0,0
429,1,0
510,1,0
36,0,0
341,0,0
142,0,0
719,1,0
760,0,0
441,0,0
610,0,0
691,1,1
165,1,1
512,0,0
116,1,0
393,0,0
581,0,0
364,0,0
106,0,0
17,1,0
186,1,1
486,0,1
457,0,0
304,0,0
708,1,1
214,1,0
739,1,0
600,0,0
733,0,1
650,0,0
195,1,1
602,0,0
641,0,1
690,0,0
219,1,1
299,0,0
183,0,0
726,0,1
639,0,0
633,0,0
729,0,0
68,0,0
730,1,0
88,1,1
283,1,1
735,0,0
692,0,0
164,1,0
462,0,0
115,1,0
453,0,0
127,0,0
47,0,0
704,0,0
561,1,1
241,0,0
564,0,0
594,0,0
111,1,1
411,0,1
701,1,0
175,1,1
112,0,0
258,0,1
189,1,1
103,0,0
638,1,0
504,0,0
551,0,0
100,1,1
723,0,0
717,0,0
668,0,0
348,0,0
237,1,1
767,0,0
577,1,0
154,1,1
363,1,0
667,1,1
522,0,1
179,1,0
661,1,1
149,0,0
209,1,1
136,0,0
571,0,0
235,1,1
78,1,1
119,0,0
16,1,0
37,1,0
715,1,0
763,0,1
311,0,0
72,1,0
234,0,0
401,0,1
321,1,0
145,0,0
663,1,0
67,0,0
517,0,1
556,0,0
670,0,1
436,0,1
557,0,0
390,0,0
144,0,1
381,0,0
720,0,0
228,0,1
415,1,1
513,0,0
428,0,1
291,1,0
642,1,1
389,0,0
275,0,0
211,0,1
323,1,0
531,0,0
362,0,1
62,0,0
417,1,0
317,1,1
395,0,0
224,0,0
229,0,0
337,1,1
41,0,0
446,0,0
709,1,0
216,1,0
66,1,0
368,0,0
168,0,0
555,0,0
713,0,0
71,0,0
286,0,1
206,1,1
469,0,1
558,0,0
519,0,1
757,1,0
176,0,0
113,0,0
172,0,0
300,1,1
572,0,0
359,1,1
276,1,0
357,1,0
493,1,1
728,0,1
301,1,0
652,0,0
526,0,0
